,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,BayernTrump,Stalin's Stepdad.,,38,24,1003,0,"Forget Hindu Gods, they'll target any Gods, be it Jesus, Buddha, Guru Nanak, anyone. Just make them angry and they'll fall for it. 

#GetThemSuspended
#IndiaWithIsrael","['GetThemSuspended', 'IndiaWithIsrael']"
1,AniketParasharr,Civil Engineer,India,1728,456,22404,129,"Beautiful message of peace from #India. 

Thank you
जी शुक्रिया

 This is so encouraging during these rough times. 
🇮🇳🇮🇱🇮🇳🇮🇱🇮🇳🇮🇱🇮🇳🇮🇱
#IndiaWithIsrael #IndiaStandsWithIsrael #IndiaStandWithIsrael https://t.co/pz4xzHoH0b",['India']
2,rajeshbala79,"Indian First, Proud Hindu, Tamil Brahmin , Lawyer
Views are personal,Retweet are not Endorsement


Chennai","नाडुवन्नूर, भारत",1206,160,16368,8741,"Terrorism has no religion but unfortunately #AllahuAkbar is trending to support terrorism and terrorists. Dear #Israel , Keep fighting against terrorism. Keep saving innocent lives. You have all the right to save ur countrymen and give befitting reply. 
#IndiaWithIsrael","['AllahuAkbar', 'Israel']"
3,BKumar56888390,Indian,,331,71,1849,625,"An Indian, Soumya Santosh from Kerala was killed in Israel in the rocket attack by the Islamic Terrorist Organisation Hamas.

My prayers for Her Soul and deepest condolences to Her family members.

#IsraelUnderAttack 

#IndiaWithIsrael https://t.co/hAkt6MTLKn",[]
4,Gopalmasura18,I'm complete my Graduate ....B.c.a now I'm prepare UPSC ...Jay mataji. ..(gujrat 🚨 police),"Gujarat,jamnagar",1348,335,12087,91,"A beautiful message from a Indian Child .
We are with you @Israel .
🇮🇳🤝🇮🇱
🇮🇳❤️🇮🇱
#IndiaWithIsrael
#IndiaStandsWithIsrael 

@RonyYedidia 
@LiorHaiat 
@MuhamedHeib 
@MayaKadosh 
@Avigailcjm 
@IdoDaniel 
@HananyaNaftali
@IsraelinIndia 
@IsraelBangalore
@IsraelMFA 
@RebeccaAvraham https://t.co/15qJsXJ7fC",['IndiaWithIsrael']
5,Itz_Arya4u,"Life is short SO Don't worry be HAPPY😎
அடுத்தவர் விருப்பத்திற்கு தான் வாழ வேண்டுமென்றால் செத்துவிடு 😈",தெரிஞ்சு என்னா பண்ணப்போற,205,96,11505,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
6,_The_Spectra,🧐,India,890,64,11861,625,"An Indian, Soumya Santosh from Kerala was killed in Israel in the rocket attack by the Islamic Terrorist Organisation Hamas.

My prayers for Her Soul and deepest condolences to Her family members.

#IsraelUnderAttack 

#IndiaWithIsrael https://t.co/hAkt6MTLKn",[]
7,ModiVolunteer,"Always with @narendramodi ji to make his dream of #NewIndia come true. Followed by @nsitharamanoffc ji, @piyushgoyaloffc ji & @vinitgoenka ji. 
Skills Trainer.",,7742,7254,275724,442,"Wish all Hindus show same passion to save hindus in Bengal as they show for #IndiaWithIsrael
Hindu genocide there is real &amp; it's horrible
Hindus are being asked to pay jiziya, their women r being raped &amp; their houses are being gutted 😢",['IndiaWithIsrael']
8,sayingitaloud89,🚩Proud Hindu🕉️ Nationalist 🇮🇳| सनातन धर्मी 🕉️ Nation First 🇮🇳| RTs ≠ endorsements,India,206,123,9943,0,"@ReallySwara We don't take you seriously. 
We are with Israel.
#IndiaStandsWithIsrael #IndiaStandWithIsrael #IndiaWithIsrael","['IndiaStandsWithIsrael', 'IndiaStandWithIsrael', 'IndiaWithIsrael']"
9,GufranAsad12,Russian Interpreter & Healthcare Facilitator,"New Delhi, India",463,41,249,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
10,Sonali26370461,,,8,0,6,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
11,Aashish85930403,"दाग़ दुनिया ने दिए ज़ख़्म ज़माने से मिले 
हम को तोहफ़े ये तुम्हें दोस्त बनाने से मिले 
-कैफ़ भोपाली",,1362,8,37,8741,"Terrorism has no religion but unfortunately #AllahuAkbar is trending to support terrorism and terrorists. Dear #Israel , Keep fighting against terrorism. Keep saving innocent lives. You have all the right to save ur countrymen and give befitting reply. 
#IndiaWithIsrael","['AllahuAkbar', 'Israel']"
12,KuranKamra,"Copy_Paster • Born Marathi • Proud Maratha • Proud Hindu • Fitness Freak •

Filmy kida , sportsmanship 🇮🇳

I'm here to make nationalist freinds❤️😘😍😍🇮🇳",PKMKB,793,1327,273855,0,"@RahulGandhi From 1300 Years this Virus is generating Terrorism in world. Wherever it goes, it spreads Riots,Blasts,Terrorism. India is Victim of this Virus from 1000+ Years,Babur, Aurangzeb,Gauri,Gazni to Kasab,Afzal &amp; many more. Israel is Vaccine of this Virus. 💪💪💪💪
#IndiaWithIsrael https://t.co/z0AfbgggdW",['IndiaWithIsrael']
13,ayush_sanatani,,,270,2,86,0,"@Irshadpv4 @PalestinePMO @DrShtayyeh Call Muslim..because india don't care about palestine...
#IndiaStandsWithIsrael 
#IndiaWithIsrael","['IndiaStandsWithIsrael', 'IndiaWithIsrael']"
14,ameenzubair,"student,emcee,master mind,",hyderabad,239,45,115,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
15,khaleelwarsi,साधारण आदमी...,India,2219,2910,226895,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
16,ramfalfromHR,धर्म एव हतो हन्ति धर्मो रक्षति रक्षितः जाट 🤗जाट रेजिमेंट💪🏻 एक कट्टर हिंदू 🚩 🇮🇳❤️🇮🇱🤝🇮🇳इज़रायली 🇮🇱,रोहतक,128,30,608,0,@Israel We are with Israel. India is with Israel. I'm with Israel Every Indian citizen is with Israel. We are with Israel till death.  #IndiaWithIsrael #IndiaStandWithIsrael #IndiaStandsWithIsrael #WeStandWithIsrael #ISupportIsrael #IStandWithIsrael #Israel #iloveisrael,"['IndiaWithIsrael', 'IndiaStandWithIsrael', 'IndiaStandsWithIsrael', 'WeStandWithIsrael', 'ISupportIsrael', 'IStandWithIsrael', 'Israel', 'iloveisrael']"
17,khurshid_r,be logical,"New Delhi, India",69,24,910,0,"@ReallySwara While innocent people were killed in Palestine due to bombing by Israeli forces, INDIAN RSS SANGHIS was trending on Twitter #indiawithISRAEL  

What a Shame India‼️
They are losing their Humanity. Dmn you ‼️

#Palestine #Palestinians #PalestinianLivesMatter #ummah #IsraeliCrimes","['indiawithISRAEL', 'Palestine', 'Palestinians', 'PalestinianLivesMatter', 'ummah', 'IsraeliCrimes']"
18,Btweets14,Anti Hate-&-Divide,,1313,1007,36846,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
19,Hindi13486157,हिंदी,,15,2,292,9,"@Israel You will win and you will prevail. Like always. Some time tested habits never go old.

Prayers and best wishes. 

Take it till the end. End for those terror supporters. 

#IndiaWithIsrael",[]
20,g_bitu8,"सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामया ।
सर्वे भद्राणि पश्यन्तु मा कश्चित् दुःखभाग् भवेत् ।।
RW । #IndiaWithArmyAndModi । 
जय हिंद 🇮🇳",India,2849,973,34439,1,"#Israel please ignore her support as she is not totally belongs from 🇮🇳 
#StayStrongIsrael #IndiaWithIsrael 🇮🇳🇮🇱
Terrorism is not acceptable anywhere in the world. https://t.co/MlYzaJ4pm8","['Israel', 'StayStrongIsrael', 'IndiaWithIsrael']"
21,VarmaSuhani,"नमस्ते सदा वत्सले मातृभूमे त्वया हिन्दुभूमे सुखं वर्धितोऽहम् श्री कृष्णम वंदे जगदगुरुमRTs is not endorsement કરી બતાવે જે પણ ધારે, અમદાવાદી ક્યારે ન હારે","कर्णावती , भारत",1217,1984,43408,9,"Israel is one of our closest allies. If there's one thing we do as good as them, it's Answering back the enemies in their own language.

@narendramodi @netanyahu
@IsraelMFA @DrSJaishankar
@BJP4India @DefenceMinIndia
@IsraelinIndia @InbarCohen13 @IDF

#IndiaWithIsrael 🇮🇳🇮🇱",[]
22,Hindi13486157,हिंदी,,15,2,292,44,"@Israel Well said !!
India has also been affected due to Islamic terrorism for so many years.
We also understand the pain and suffering due to terrorism..

We Indians fully support Israel.
👍👍👍👍
#IndiaStandsWithIsrael 
#IndiaWithIsrael",[]
23,khurshid_r,be logical,"New Delhi, India",69,24,910,0,"@Chahal_Shekhar While innocent people were killed in Palestine due to bombing by Israeli forces, INDIAN RSS SANGHIS was trending on Twitter #indiawithISRAEL  

What a Shame India‼️
They are losing their Humanity. Dmn you ‼️

#Palestine #Palestinians #PalestinianLivesMatter #ummah #IsraeliCrimes","['indiawithISRAEL', 'Palestine', 'Palestinians', 'PalestinianLivesMatter', 'ummah', 'IsraeliCrimes']"
24,SANJEEVKU1981,,,238,21,218,0,"@IDF No mercy to islamic terrorist.
#IndiaStandsWithIsrael 
#IndiaWithIsrael 
#Gaza 
#IsraelUnderAttack","['IndiaStandsWithIsrael', 'IndiaWithIsrael', 'Gaza', 'IsraelUnderAttack']"
25,aashiq_aeman,"खामोशी जुर्म हैं इस दौर में ,बोलना सीखो ,

वरना मिट जाओगे , हालात के तुफानो में,",#भक्तो_के_खोपड़े_में,255,315,15060,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
26,akimran82,,"Leeds, England",31,21,692,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
27,Prakash24320996,,,29,12,148,99,@PatrioticBoi2 Stop provoking &amp; firing rockets at #isreal and stop playing the victim card #IndiaStandsWithIsrael #IndiaWithIsrael https://t.co/1lFNl80oOn,"['isreal', 'IndiaStandsWithIsrael']"
28,SavitaD34012819,,,4,2,63,284,"Dear Israel,
You are not alone whole India and we Indians are with you.
🇮🇳❤🇮🇱

#IndiaStandsWithIsrael 
#IndiaWithIsrael 
#IndiaStandWithIsrael 
#IStandWithIsrael
#हमारा_दोस्त_इजराइल 
#Israel #India https://t.co/3gZjQmfdrN",['IndiaStandsWithIsrael']
29,SharwanKumarVi3,"भारत का रहने वाला हुँ     भारत की बात सुनाता हुँ।                     

प्रशासक समिति","kolkata, India",15213,18853,62220,5,"Israel Go Ahead !! 🙌

India Stands with you 🇮🇳🤝🇮🇱 
#IndiaStandsWithIsrael
#IndiaWithIsrael 

@IDF https://t.co/WKlPYhWbFa","['IndiaStandsWithIsrael', 'IndiaWithIsrael']"
30,way2Infinity,"#proudHindu

I am not against any community but the mindset of some makes me sick.
Ex-Secular (There is nothing as such secular exists anywhere in this country)",,283,98,5915,625,"An Indian, Soumya Santosh from Kerala was killed in Israel in the rocket attack by the Islamic Terrorist Organisation Hamas.

My prayers for Her Soul and deepest condolences to Her family members.

#IsraelUnderAttack 

#IndiaWithIsrael https://t.co/hAkt6MTLKn",[]
31,Abhishe67639540,Bharat mata ki jai🇮🇳,,191,9,332,1,"India, Israel relation to strong,in any situation Israel helps india now india with israel #IndiaWithIsrael https://t.co/n2diHN7M4Z",['IndiaWithIsrael']
32,Arshank74671356,,india ,21,20,444,850,"While the RSS Sanghis are trending #IndiaWithIsrael,  they don't realise that Israelis are beef lovers !",['IndiaWithIsrael']
33,akbara78611,Alhamdullilah...❤,"Shelar, India",295,112,1108,11942,"Dear Israel.. If the Indian right wing is supporting you.. you know you are doing something wrong! Damn wrong. 😬😬😬
#IndiaWithIsrael #FreePalestine",[]
